TCMPharmacyTopicEntitySub,relation,TCMPharmacyTopicEntityParent
8309,subclass of,0
8315,subclass of,0
8318,subclass of,0
8319,subclass of,0
8310,subclass of,0
8322,subclass of,0
8321,subclass of,0
8320,subclass of,0
8314,subclass of,0
8313,subclass of,0
8316,subclass of,0
8312,subclass of,0
8317,subclass of,0
8311,subclass of,0
37,subclass of,1
31,subclass of,1
25,subclass of,1
12,subclass of,1
10,subclass of,1
9,subclass of,1
8,subclass of,1
6,subclass of,1
5,subclass of,1
4,subclass of,1
3,subclass of,1
58,subclass of,70
71,subclass of,70
117,subclass of,70
112,subclass of,71
72,subclass of,71
116,subclass of,71
73,subclass of,72
82,subclass of,72
81,subclass of,73
80,subclass of,73
79,subclass of,73
78,subclass of,73
77,subclass of,73
76,subclass of,73
75,subclass of,73
74,subclass of,73
111,subclass of,82
83,subclass of,82
84,subclass of,82
85,subclass of,82
86,subclass of,82
95,subclass of,82
103,subclass of,82
100,subclass of,95
88,subclass of,95
89,subclass of,95
98,subclass of,95
96,subclass of,95
90,subclass of,95
104,subclass of,103
92,subclass of,103
94,subclass of,103
93,subclass of,103
106,subclass of,103
108,subclass of,103
115,subclass of,112
114,subclass of,112
113,subclass of,112
252,subclass of,117
281,subclass of,117
550,subclass of,117
386,subclass of,117
398,subclass of,117
413,subclass of,117
447,subclass of,117
696,subclass of,117
687,subclass of,117
207,subclass of,117
574,subclass of,117
602,subclass of,117
622,subclass of,117
668,subclass of,117
503,subclass of,117
186,subclass of,117
525,subclass of,117
118,subclass of,117
156,subclass of,118
146,subclass of,118
145,subclass of,118
144,subclass of,118
143,subclass of,118
142,subclass of,118
141,subclass of,118
139,subclass of,118
138,subclass of,118
136,subclass of,118
150,subclass of,118
135,subclass of,118
134,subclass of,118
133,subclass of,118
131,subclass of,118
130,subclass of,118
125,subclass of,118
152,subclass of,118
119,subclass of,118
121,subclass of,118
122,subclass of,118
147,subclass of,118
123,subclass of,118
148,subclass of,118
151,subclass of,118
157,subclass of,118
161,subclass of,118
163,subclass of,118
164,subclass of,118
165,subclass of,118
166,subclass of,118
167,subclass of,118
168,subclass of,118
170,subclass of,118
174,subclass of,118
175,subclass of,118
176,subclass of,118
177,subclass of,118
178,subclass of,118
179,subclass of,118
180,subclass of,118
181,subclass of,118
182,subclass of,118
184,subclass of,118
185,subclass of,118
154,subclass of,118
155,subclass of,118
124,subclass of,118
202,subclass of,186
205,subclass of,186
187,subclass of,186
188,subclass of,186
189,subclass of,186
190,subclass of,186
191,subclass of,186
192,subclass of,186
206,subclass of,186
194,subclass of,186
195,subclass of,186
193,subclass of,186
197,subclass of,186
198,subclass of,186
199,subclass of,186
200,subclass of,186
201,subclass of,186
203,subclass of,186
204,subclass of,186
196,subclass of,186
244,subclass of,207
251,subclass of,207
249,subclass of,207
248,subclass of,207
247,subclass of,207
246,subclass of,207
243,subclass of,207
220,subclass of,207
240,subclass of,207
208,subclass of,207
209,subclass of,207
210,subclass of,207
211,subclass of,207
212,subclass of,207
213,subclass of,207
214,subclass of,207
215,subclass of,207
216,subclass of,207
217,subclass of,207
218,subclass of,207
219,subclass of,207
221,subclass of,207
222,subclass of,207
223,subclass of,207
224,subclass of,207
225,subclass of,207
239,subclass of,207
238,subclass of,207
237,subclass of,207
236,subclass of,207
235,subclass of,207
234,subclass of,207
242,subclass of,207
233,subclass of,207
231,subclass of,207
230,subclass of,207
229,subclass of,207
228,subclass of,207
227,subclass of,207
226,subclass of,207
232,subclass of,207
280,subclass of,252
256,subclass of,252
278,subclass of,252
279,subclass of,252
254,subclass of,252
255,subclass of,252
253,subclass of,252
258,subclass of,252
259,subclass of,252
260,subclass of,252
261,subclass of,252
262,subclass of,252
263,subclass of,252
264,subclass of,252
265,subclass of,252
257,subclass of,252
267,subclass of,252
276,subclass of,252
266,subclass of,252
277,subclass of,252
274,subclass of,252
273,subclass of,252
275,subclass of,252
271,subclass of,252
270,subclass of,252
269,subclass of,252
268,subclass of,252
272,subclass of,252
363,subclass of,281
362,subclass of,281
361,subclass of,281
360,subclass of,281
359,subclass of,281
358,subclass of,281
357,subclass of,281
356,subclass of,281
352,subclass of,281
354,subclass of,281
353,subclass of,281
351,subclass of,281
350,subclass of,281
349,subclass of,281
348,subclass of,281
364,subclass of,281
355,subclass of,281
365,subclass of,281
378,subclass of,281
367,subclass of,281
347,subclass of,281
385,subclass of,281
384,subclass of,281
383,subclass of,281
382,subclass of,281
381,subclass of,281
380,subclass of,281
379,subclass of,281
366,subclass of,281
377,subclass of,281
375,subclass of,281
374,subclass of,281
373,subclass of,281
372,subclass of,281
371,subclass of,281
370,subclass of,281
369,subclass of,281
368,subclass of,281
376,subclass of,281
346,subclass of,281
343,subclass of,281
344,subclass of,281
308,subclass of,281
307,subclass of,281
306,subclass of,281
305,subclass of,281
304,subclass of,281
303,subclass of,281
302,subclass of,281
301,subclass of,281
345,subclass of,281
300,subclass of,281
299,subclass of,281
298,subclass of,281
297,subclass of,281
309,subclass of,281
296,subclass of,281
294,subclass of,281
293,subclass of,281
292,subclass of,281
291,subclass of,281
290,subclass of,281
289,subclass of,281
288,subclass of,281
287,subclass of,281
286,subclass of,281
285,subclass of,281
284,subclass of,281
283,subclass of,281
282,subclass of,281
295,subclass of,281
311,subclass of,281
310,subclass of,281
313,subclass of,281
